company_name,company_yc_url,company_tagline,company_description,company_batch,company_company_type,company_industry_tags,company_country,company_location,company_website,company_founded,company_team_size,company_social_profiles_linkedin,company_social_profiles_twitter,company_social_profiles_facebook,company_social_profiles_crunchbase,founders
Filta,https://www.ycombinator.com/companies/filta,The Face Filter NFT Marketplace,"Filta is the face filter NFT marketplace being built by veterans from Pixar/Oculus/Facebook. We partner with creators to release limited-edition filters for their fans to use on social media. It turns out: the face filters you see everywhere on Snapchat and Instagram are created by independent artists - not by the platforms. These artists ALMOST NEVER get money for their work - which is insane! Filta fixes this by giving these creators a marketplace and the best filter creation tool anywhere. Interested in working on the future of digital fashion, AR/VR, and web3? Hit us up. We're hiring.",S21,ACTIVE,"[""AUGMENTED-REALITY"",""CRYPTO-WEB3"",""VIRTUAL-REALITY""]",United States,San Francisco,http://www.getfilta.com,2021,3,https://www.linkedin.com/company/filtaapp,https://twitter.com/GetFilta,,,"[{""name"":""Chris Horne"",""role"":"""",""description"":""Im an Emmy and Peabody award winner with deep experience in 3D and building at the intersection of art and technology. I've worked at places like Pixar, Oculus (Story Studio), and Facebook (Horizon) and am deeply interested in combining frontier technology in interesting ways."",""linkedin_profile"":""https://www.linkedin.com/in/chris-horne-28b24266/"",""twitter_profile"":""https://twitter.com/chornesays""}]"
Labdoor,https://www.ycombinator.com/companies/labdoor,Labdoor is building the trusted online drugstore.,"Labdoor is a marketplace where consumers research, find, and buy the best supplements.To verify the purity and potency of these products, Labdoor first buys and tests actual dietary supplement samples: We send each product to an FDA-registered laboratory for a detailed chemical analysis. Our scientists then collect the laboratory results and use internal algorithms to translate this data into simple grades and rankings for consumers. Find a product you love? Click buy it now to activate in-app purchases.",W15,ACTIVE,"[""CONSUMER-HEALTH-SERVICES"",""MARKETPLACE""]",United States,San Francisco,https://labdoor.com,2012,11,https://www.linkedin.com/company/labdoor,https://twitter.com/labdoor,https://www.facebook.com/labdoor/,https://www.crunchbase.com/organization/labdoor,"[{""name"":""Neil Thanedar"",""role"":""CEO"",""description"":""Founder and Solo GP at Utopic Ventures (pre-seed VC fund backing biotech startups led by scientist CEOs).Founding CEO of Labdoor (W15), Avomeen (acq. 2016), and Air to All (501(c)3 nonprofit)."",""linkedin_profile"":""https://www.linkedin.com/in/thanedar"",""twitter_profile"":""https://twitter.com/NeilThanedar""},{""name"":""Rafael Ferreira"",""role"":""CMO"",""description"":""Co-founded and helped build Labdoor from the ground up, transforming it into one of the largest supplement review websites in the world.Worked as an Art Director for several agencies, helping deliver impactful work for global brands like Warner Bros., Proctor & Gamble, Johnson & Johnson, STP, HTH, DHL, Phillip Morris, and others.Two-time shortlist nominated for the Webby Awards."",""linkedin_profile"":""https://www.linkedin.com/in/rafafferreira"",""twitter_profile"":""https://twitter.com/rafafferreira1""},{""name"":""Helton Souza"",""role"":""CTO"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/heltonsouza"",""twitter_profile"":""""}]"
Kidato,https://www.ycombinator.com/companies/kidato,Online school for K12 education in Africa,"Parents in Africa face either public schools with student-teacher ratios as high as 50:1 or private schools with tuition fees as high as $7500 per year, per child. Kidato classes have student-teacher ratios of 5:1 and teach the same rigorous international curriculum as other private schools  but at a fraction of the price. In our second semester, Kidato has enrolled more than 30 students into our learning-from-home program as a replacement for brick-and-mortar schools. We expect to triple this enrollment by our third semester.",W21,ACTIVE,"[""EDUCATION"",""ELEARNING""]",Kenya,"Nairobi, Kenya",https://www.kidato.co,2020,15,,https://twitter.com/kidatorian,https://www.facebook.com/kidatorian,,"[{""name"":""Sam Gichuru"",""role"":"""",""description"":""Education is extremely disjointed and expensive in Africa, I see an opportunity to change that, by streamlining it and making it affordable.Software engineer, previously founded Nailab, the first Kenyan incubator, and accelerator, co-founded Kuhustle (YC-F3), an African freelance platform, supported over 120 startups in 10 years, 3 exists, worked with Jack Ma / Jack Ma Foundation to structure $10M funding for African SMB's, grew to $100M commitment."",""linkedin_profile"":""https://www.linkedin.com/in/samgichuru"",""twitter_profile"":""""}]"
TrueClaim,https://www.ycombinator.com/companies/trueclaim,Automatically saving self-insured companies 7% on healthcare,"TrueClaim processes all payments between healthcare providers and companies that self-fund their insurance. Unlike incumbents, TrueClaim uses newly available data and AI to save companies 7% of their healthcare costs.",W24,ACTIVE,"[""HEALTH-INSURANCE"",""HEALTH-TECH"",""HEALTHCARE"",""HR-TECH"",""SAAS""]",United States,San Francisco,https://www.trytrueclaim.com,2023,2,https://www.linkedin.com/company/trytrueclaim,,,,"[{""name"":""Barbora Howell"",""role"":"""",""description"":""Barbora got her MBA at Stanford. She joined Hinge Health as employee #30 where she built and ran a number of functions, including HR, benefits and customer billing. After scaling Hinge Health to >700 employees and hundreds of customers, Barbora ran clinical operations at Pine Park Health - a primary care provider for residents of assisted living facilities and a YC company - where she served on the executive team and was in charge of member support, care coordination and more."",""linkedin_profile"":""https://linkedin.com/in/podzimkovab"",""twitter_profile"":""""},{""name"":""Bobby Bayer"",""role"":"""",""description"":""Co-founder and CTO of TrueClaim (W24). Previously, Bobby spent 7 years as Senior Software Engineer building and scaling health tech solutions at pMD. He established and grew pMDs RCM software and services divisions as Software Engineering Manager. Prior to that, he launched patient engagement software as a Senior Software Engineer. 30% of the revenue growth at pMD during his tenure could be directly attributed to a product that he launched."",""linkedin_profile"":""https://linkedin.com/in/rwbayer"",""twitter_profile"":""""}]"
Ramen VR,https://www.ycombinator.com/companies/ramen-vr,Have you heard of Ready Player One?  We're building it for real people,"Have you heard of Ready Player One?  Well, we're building it for real people: We're building the next reality featuring an infinite universe where millions of people can build new lives together in a gorgeous, cyberpunk and inspired world. We're starting with Zenith, a massively multiplayer online roleplaying game that is cross platform for VR, desktop, and console. Ramen VR was started in early 2019 in the Bay Area by Andy and Lauren, gaming tech engineers with decades of combined experience at Google, Unity, OpenFeint, and some very successful mobile and social games.We're funded by some of the best investors and gaming entrepreneurs in the world including YCombinator, The Makers Fund, Twitch COO Kevin Lin, and Kabam Cofounder Holly Liu and also the most successful VR Gaming Kickstarter of all time.We believe great games change the world for the better. Great games inspire creativity, teach grit, and most importantly, build community.",S19,ACTIVE,"[""GAMING"",""SOCIAL"",""VIRTUAL-REALITY""]",United States,San Francisco,https://ramenvr.com/,2019,21,,https://twitter.com/zenithmmo,,,"[{""name"":""Lauren Frazier"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/laurenfraz/"",""twitter_profile"":""""},{""name"":""Andy Tsen"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/profile/view?id=62805976&trk=nav_responsive_tab_profile"",""twitter_profile"":""""}]"
Concourse,https://www.ycombinator.com/companies/concourse,"Connect, chat, and work with your financial data",,W23,ACTIVE,"[""ARTIFICIAL-INTELLIGENCE"",""B2B"",""FINTECH"",""PAYMENTS"",""SAAS""]",United States,San Francisco,https://concourse.co/,2022,5,,,,,"[{""name"":""Matthieu Hafemeister"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/matthafemeister/"",""twitter_profile"":""https://twitter.com/matt_haf""},{""name"":""Ted Michaels"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/ted-michaels/"",""twitter_profile"":""""}]"
Kashin,https://www.ycombinator.com/companies/kashin,Credit for the emerging economy in Latam,"Credit for the emerging economy in Latam.We have 10K users and nearly $2M in annualized revenue, from our small loans to micro-merchants and individuals in the informal economy.We do our underwriting with our proprietary AI risk model processing 250+ variables from the user's smartphone and credit bureau.",S22,ACTIVE,"[""FINTECH""]",Peru,"Lima, Peru",https://kashin.app/,2020,45,https://www.linkedin.com/company/68777723,https://twitter.com/kashin_app,https://www.facebook.com/kashinpe,https://www.crunchbase.com/organization/kashin,"[{""name"":""Christophe Robilliard"",""role"":"""",""description"":""Engineer with a passion for solving problems.Former experiences: McKinsey Consultant, Easy Taxi General Manager, Cabify Regional Manager, and Ligo COO.Love sports: surf, tennis, soccer, squash, and more."",""linkedin_profile"":""https://www.linkedin.com/in/chrobilliard/"",""twitter_profile"":""https://twitter.com/CRobilliard""},{""name"":""Jose Palacios"",""role"":"""",""description"":""Founder and Critical Thinking Officer @ Kashin"",""linkedin_profile"":""https://www.linkedin.com/in/thetex/"",""twitter_profile"":""https://twitter.com/iamt3x""}]"
CapWay,https://www.ycombinator.com/companies/capway,Inclusive financial technology service provider.,"CapWay is a financial technology company that creates financial access and opportunity for all via our ecosystem, including digital banking tools, savings tools, financial content, and inclusion consumer fintech products. The company fills financial gaps and provides solutions for the growing cashless economy and those who are looking to move away from the traditional financial system, including those who have been misunderstood, overlooked, and underserved.CapWay has a B2C and B2B2C customer acquisition strategy.",S20,ACTIVE,"[""CONSUMER"",""ENTERPRISE"",""FINTECH"",""NEOBANK"",""SAAS""]",United States,"Atlanta, GA",http://www.CapWay.com,2017,9,,,,https://www.crunchbase.com/organization/capway,"[{""name"":""Sheena Allen"",""role"":"""",""description"":""Sheena Allen was born in Terry, MS and is a graduate of the University of Southern Mississippi. In 2011, Sheena started her first company, Sheena Allen Apps, and bootstrapped the app company to generate millions of downloads. In 2019, she started her second tech startup, CapWay, a neobank and fintech company that creates financial opportunities and access for those who are financially underserved.Sheena is a 2019 Forbes 30 Under 30 and Inc. Magazine 30 Under 30 member."",""linkedin_profile"":""http://www.LinkedIn.com/in/SheenaAllen"",""twitter_profile"":""https://Twitter.com/whoisSheena""}]"
Jellyfish Art,https://www.ycombinator.com/companies/jellyfish-art,,"Jellyfish Art makes jellyfish aquariums and supplies them with live jellyfish and accessories. Jellyfish are a new trend in personal aquariums. They require specialized tanks with water flow patterns that keep the jellyfish suspended in the middle of the tank away from filtration intakes. They also require specialized food made from frozen plankton. Jellyfish Art sells everything needed to keep jellyfish in a personal aquarium, including the live jellyfish, which can be shipped anywhere in the U.S. via overnight express delivery.The company sells all of its products through its website and ships from a warehouse located in San Francisco, CA. It is the flagship site of AnyVivo.",W12,INACTIVE,"[""Not Available""]",United States,San Francisco,http://jellyfishart.com,,2,,,,https://www.crunchbase.com/organization/jellyfish-art,"[{""name"":""Alex Andon"",""role"":"""",""description"":""Currently a Product Management Lead at Meta. Former Co-Founder of Jellyfish Art (W12), acquired 2014."",""linkedin_profile"":""https://www.linkedin.com/in/alexandon"",""twitter_profile"":""""},{""name"":""Cam Urban"",""role"":"""",""description"":""Co-founder Jellyfish Art (YC W12), NudgePad (YC S09, joined after YC), and Roxy. Currently working at Google."",""linkedin_profile"":""https://www.linkedin.com/in/cameron-urban-78924854"",""twitter_profile"":""https://twitter.com/curb892""}]"
Blok,https://www.ycombinator.com/companies/blok,A platform for fitness instructors to build their business and,"Fitness professionals have large, loyal followings, but dont have the tools to build scalable businesses. Blok makes it easy for fitness professionals to teach live classes, sell content, get paid for differentiated services, partner with brands, reward their community, and build a unique brand online.Fitness entrepreneurs will continue to unbundle from brands and will be armed with Blok's digital tools to monetize their audiences directly.",W20,INACTIVE,"[""FITNESS"",""HEALTH-&-WELLNESS"",""SPORTS-TECH""]",United States,San Francisco,https://blok.fit,2019,2,,,,,"[{""name"":""Sahana Rajasekar"",""role"":"""",""description"":""Full-stack product engineer, designer, and fitness instructor. Prev Pinterest, Chorus, and Even."",""linkedin_profile"":""https://www.linkedin.com/in/sahanarajasekar/"",""twitter_profile"":""https://twitter.com/sahanarajasekar""}]"
Propexo,https://www.ycombinator.com/companies/propexo,Plaid for Commercial Real Estate,"Propexo lets engineers build, test, and launch CRE software integrations in days, not months. We modernize the developer experience for our customers, providing clear documentation and robust infrastructure to support the needs of property owners, property managers, & proptechs.",W23,ACTIVE,"[""API"",""B2B"",""DEVELOPER-TOOLS"",""PROPTECH"",""SAAS""]",United States,Boston,https://propexo.com,2022,6,https://www.linkedin.com/company/getpropify/,,,,"[{""name"":""Remen Okoruwa"",""role"":"""",""description"":""Former consultant @ McKinsey & product @ HubSpot. Building API aggregator for property management software."",""linkedin_profile"":""https://www.linkedin.com/in/remenokoruwa/"",""twitter_profile"":""""},{""name"":""Nick Johnson"",""role"":"""",""description"":""Hacker & builder. Currently focused on building the unified API to accelerate innovation in real estate."",""linkedin_profile"":"""",""twitter_profile"":""""},{""name"":""Ben Keller"",""role"":"""",""description"":""Started my career in real estate private equity before getting the tech bug. Was the first PM building HubSpot's CRM, now trying to change the proptech landscape with Propify. In my free time I love to run, read, play golf, and travel to new places."",""linkedin_profile"":"""",""twitter_profile"":""""}]"
HoverChat,https://www.ycombinator.com/companies/hoverchat,Message without interrupting what you're doing,HoverChat is an app focused on making messaging more of a multi-tasking experience and allow users to use the messaging service without interrupting their work flow.The app is currently available on Android phones.,W14,INACTIVE,"[""MESSAGING""]",United States,"Santa Clara, CA",http://hoverchat.com,,11,,,,https://www.crunchbase.com/organization/hoverchat,"[{""name"":""Wael Nafee"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/wael-nafee-2b78abb/"",""twitter_profile"":""""},{""name"":""Ahmed Galal"",""role"":"""",""description"":""Head of experience at Noon. ex-Careem, YCW14"",""linkedin_profile"":""https://linkedin.com/in/galalahmed"",""twitter_profile"":""https://twitter.com/AhmadGalal""},{""name"":""Mostafa Gazar"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/mostafagazar"",""twitter_profile"":""""}]"
Lightly,https://www.ycombinator.com/companies/lightly,Help ML teams label the right data,"When ML teams send their data to companies like Scale.ai for labeling, most can only afford to label 1% or less of their datasets.  But today they dont have a good way to pick which 1% to label. We help them pick the best 1% of their data to label.  By labeling the most representative data, they significantly improve model accuracy at the same cost.",S21,ACTIVE,"[""Data Tech"",""Machine Learning""]",Switzerland,"Zrich, Switzerland",https://lightly.ai/,2018,5,https://www.linkedin.com/company/lightly-tech,https://twitter.com/LightlyAI,,https://www.crunchbase.com/organization/mirage,"[{""name"":""Igor Susmelj"",""role"":"""",""description"":""Igor has more than five years of experience in machine learning. He holds a degree in electrical engineering from ETH Zurich. During his studies, he developed a lot of experience in machine learning and robotics and had multiple successful publications in the area of deep learning at top conferences such as ICML and ECCV. He previously worked for two years at the Swiss stock exchange as a software engineer."",""linkedin_profile"":""https://www.linkedin.com/in/igorsusmelj/"",""twitter_profile"":""https://twitter.com/ISusmelj""},{""name"":""Matthias Heller"",""role"":"""",""description"":""Co-Founder at Lightly.ai. Previously worked at BCG, startups, and in finance. Studied at HSG, Harvard, and HEC Paris."",""linkedin_profile"":""https://www.linkedin.com/in/matthiasheller/"",""twitter_profile"":""https://twitter.com/Matt_Heller_""}]"
Thread,https://www.ycombinator.com/companies/thread-2,Lifeline for your business,"Thread simplifies the business processes for manufacturing companies. Upload your company documents to our secure platform, collaborate seamlessly across your organization to respond to vendor questionnaires.",W23,ACTIVE,"[""E-COMMERCE"",""FASHION"",""Retail""]",United States,"Chattanooga, TN",https://www.usethread.io,2023,2,https://www.linkedin.com/company/thread-incorporated/,https://twitter.com/usethreadio,https://www.facebook.com/profile.php?id=100088329889920,https://www.crunchbase.com/organization/thread-6984,"[{""name"":""Harsha Vankayalapati"",""role"":"""",""description"":""Harsha is the CTO of Thread (YC W23), an incident management platform for large-scale enterprises. Previously, he spent more than 3 years as a Software Engineer at Microsoft working on improving Retail Store Experiences."",""linkedin_profile"":""https://www.linkedin.com/in/harsha-vankayalapati-68985997/"",""twitter_profile"":""""},{""name"":""Akeem Williams"",""role"":"""",""description"":""Building cool things :) Ex-Microsoft / Morgan Stanley"",""linkedin_profile"":""https://www.linkedin.com/in/akeem-williams-aa88b5140/"",""twitter_profile"":""""}]"
Kiosk,https://www.ycombinator.com/companies/kiosk,WhatsApp Marketing for E-commerce,"At Kiosk, we help companies engage with their customers on their preferred app, WhatsApp.In short, we blend AI agents and traditional marketing tools (Campaigns, Workflows) to generate personalised conversations at scale. Think of us like the MailChimp for WhatsApp, with a conversational AI twist While WhatsApp is a key revenue driver in markets like India, its vast potential in Europe and Emerging Markets is still largely untapped!",W24,ACTIVE,"[""ARTIFICIAL-INTELLIGENCE"",""AUTOMATION"",""MARKETING"",""MESSAGING""]",France,"Paris, France",https://www.kiosk.so,2023,5,https://www.linkedin.com/company/getkiosk,,,,"[{""name"":""Paul Lafforgue"",""role"":"""",""description"":""Spent 2 years in the WhatsApp team before launching Kiosk. Prior experience at Meta and McKinsey, and graduated from Ecole polytechnique and HEC Paris. I like to build great products with ambitious teams, and kite surfing for some adventure!"",""linkedin_profile"":""https://www.linkedin.com/in/paullafforgue/https://linkedin.com/in/paullafforgue"",""twitter_profile"":""""},{""name"":""Thomas Sohet"",""role"":"""",""description"":""Former CTO of Yago.be with 5+ years in tech leadership. Expert in web product development and scaling startups.Passionate about leveraging technology to solve real-world problems with smart and ambitious people.Outside of work, I enjoy sport adventures and expeditions of all sorts."",""linkedin_profile"":""https://linkedin.com/in/thomas-sohet-5291a868"",""twitter_profile"":""""}]"
SevnAI,https://www.ycombinator.com/companies/sevnai,Foundation Models for Graphic Designs,"We build foundation models for graphic design. For example, SMBs use them to generate social media graphics 10x faster than hiring designers.",W24,ACTIVE,"[""ARTIFICIAL-INTELLIGENCE"",""DESIGN"",""GENERATIVE-AI""]",United States,San Francisco,http://sevn.ai,2023,2,,https://twitter.com/sevn_ai,,,"[{""name"":""Jean Kaddour"",""role"":"""",""description"":""Previously: ML PhD @ UCL"",""linkedin_profile"":""https://linkedin.com/in/jean-kaddour-344837267"",""twitter_profile"":""https://twitter.com/jeankaddour""},{""name"":""Srijan Patel"",""role"":"""",""description"":""CTO @ Sevn"",""linkedin_profile"":""https://linkedin.com/in/srijanpatel"",""twitter_profile"":""https://twitter.com/srijanyaham""}]"
BHRD,https://www.ycombinator.com/companies/bhrd,BHRD (Be Heard) helps public companies communicate with investors.,,S18,INACTIVE,"[""INVESTING""]",Canada,"Toronto, Canada",http://bhrdglobal.com,,3,,https://twitter.com/letsBHRD,,https://www.crunchbase.com/organization/bhrd,"[{""name"":""William Ma"",""role"":""CEO"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/mawilliam/"",""twitter_profile"":""""},{""name"":""Joshua Duggan"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://ca.linkedin.com/in/joshua-duggan-17978928"",""twitter_profile"":""""},{""name"":""Michael Liao"",""role"":""Founder"",""description"":"""",""linkedin_profile"":"""",""twitter_profile"":""""}]"
DaLMatian,https://www.ycombinator.com/companies/dalmatian,The first autonomous AI data analyst agent,"DaLMatian is the first autonomous AI data analyst. We're building a multi-step reasoning agent that combines text-to-sql, segmentation, anomaly detection, and other tools to help decision makers generate more revenue.Founded by three friends who met in undergrad at Princeton, our experience includes AI at Google Research, engineering at Google & Duolingo, quant trading at Virtu, and analytics at Riskified.",W24,ACTIVE,"[""ANALYTICS"",""ARTIFICIAL-INTELLIGENCE"",""B2B"",""GENERATIVE-AI""]",Not Available,,https://www.dalmatian.ai/,2023,3,https://www.linkedin.com/company/dalmatian-ai,,,,"[{""name"":""Alan Du"",""role"":"""",""description"":""CEO at DaLMatian. Former data analyst at Riskified and quant trader at Virtu, Volant. Operations research at Princeton."",""linkedin_profile"":""https://linkedin.com/in/alan-du-6525b28a"",""twitter_profile"":""""},{""name"":""Jason Cai"",""role"":"""",""description"":""CTO @ DaLMatian. Formerly engineering @ Duolingo & Google. Computer engineering @ Princeton."",""linkedin_profile"":""https://www.linkedin.com/in/jycai/"",""twitter_profile"":""""},{""name"":""Derrick Xin"",""role"":"""",""description"":""Previously at Google Research, Google Ad Ranking. Applied Math at Stanford, Princeton."",""linkedin_profile"":""https://openreview.net/profile?id=~Derrick_Xin1"",""twitter_profile"":""""}]"
Lattice,https://www.ycombinator.com/companies/lattice,Modern people management platform.,"Lattice is people success software that empowers leaders to build engaged and high- performing teams, inspire winning cultures, and make strategic, data-driven business decisions. Our software helps nearly 4,000 companies globally align employees to the most critical objectives, measure and reward performance, and create an effective feedback loop between employees and managers.",W16,ACTIVE,"[""HR-TECH""]",United States,San Francisco,https://lattice.com,2015,540,https://www.linkedin.com/company/lattice-hq/,https://twitter.com/latticehq,,https://www.crunchbase.com/organization/lattice-2,"[{""name"":""Jack Altman"",""role"":""CEO"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/jackealtman"",""twitter_profile"":""""}]"
PeerDB,https://www.ycombinator.com/companies/peerdb,"Fast, native ETL for Postgres  ","At PeerDB, we are building a fast, simple and the most cost effective way to stream data from Postgres to Data Warehouses, Queues and Storage engines. If you are running Postgres at the heart of your data-stack and move data at scale from Postgres to any of the above targets, PeerDB can provide value.We support different modes of streaming - log based (CDC), cursor based (timestamp or integer) and XMIN based. Performance wise, we are 10x faster than existing tools. Features wise, we support native Postgres features such as comprehensive set of data-types incl. jsonb/arrays/postgis, efficiently streaming toast columns, schema changes and so on.",S23,ACTIVE,"[""DATABASES"",""DEVELOPER-TOOLS"",""Data Tech"",""ENTERPRISE-SOFTWARE"",""OPEN-SOURCE""]",Not Available,,https://peerdb.io/,2023,2,https://www.linkedin.com/company/peerdb,https://twitter.com/PeerDBInc,,,"[{""name"":""Sai Srirampur"",""role"":"""",""description"":""Building worlds best data-movement experience for Postgres. Ex-Microsoft - Headed Solutions Engineering all up for PostgreSQL on Azure, Ex-Citus Data (YCS11 acq. Microsoft) - Early Engineer, IIIT-H Alumnus, He/His"",""linkedin_profile"":""https://linkedin.com/in/sai-krishna-s-1741b019"",""twitter_profile"":""https://twitter.com/saisrirampur""},{""name"":""Kaushik Iska"",""role"":"""",""description"":""Working on PeerDB to make the Postgres ETL story stellar. Previous work experience includes leading teams at Google, Palantir, Safegraph."",""linkedin_profile"":""https://linkedin.com/in/kaushikiska"",""twitter_profile"":""""}]"
Stownest,https://www.ycombinator.com/companies/stownest,"Flexible On-Demand Storage Space for Household, SMEs & Travellers.","Valet self-storage solution for your personal storage needs. Be it household storage or seasonal belongings, we will pick them up and store them in our facility. You get it back when you need it. Service built on technology and strong customer experience fundamentals.",S21,ACTIVE,"[""B2B"",""WAREHOUSE-MANAGEMENT-TECH""]",India,"Bengaluru, India",https://stownest.com,2018,80,https://www.linkedin.com/company/stownest-storage/,https://twitter.com/stowneststorage,https://www.facebook.com/stownest/,https://www.crunchbase.com/organization/stownest-storage,"[{""name"":""Sudhindra Subbarao"",""role"":"""",""description"":""Engineer by Qualification. Explorer at heart. Entrepreneurship and Travel excite me.- Co-Founder of Stownest Storage - building reliable Self Storage for India- 15 years in Product Development &  Customer Engineering in HPE- Founded Wild Wanderers Adventures"",""linkedin_profile"":""https://linkedin.com/in/sudhindra-subbarao"",""twitter_profile"":""https://twitter.com/sudhindra108""},{""name"":""Ramesh Chincholi"",""role"":"""",""description"":""Ramesh Chincholi is an entrepreneur and technologist, who has co-founded 2 tech startups with one successful exit, and played instrumental roles in scaling 3 high growth startups to tens of millions of users, in his career spanning 16 years."",""linkedin_profile"":""https://www.linkedin.com/in/rameshchincholi"",""twitter_profile"":""https://twitter.com/chincholi""},{""name"":""AMIETH KUMAR"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/sudhindra-subbarao"",""twitter_profile"":""""},{""name"":""Srinivasa Murthy"",""role"":"""",""description"":"""",""linkedin_profile"":"""",""twitter_profile"":""""}]"
Zelos Cloud,https://www.ycombinator.com/companies/zelos-cloud,The First Cloud Platform for Firmware Development and Testing,"Zelos Cloud is accelerating electronics product development with powerful tools for emulation, tracing, and automated testing on real microcontrollers in the cloud.As firmware engineers, we spent years developing and shipping products at scale. Between batteries, bootloaders and brain implants, we've seen it all. Our mission is to build the tools we wish we had to enable teams to ship higher quality products, faster.",S23,ACTIVE,"[""Data Tech"",""HARD-TECH"",""MANUFACTURING""]",Not Available,,https://zeloscloud.io,2023,3,https://www.linkedin.com/company/zeloscloud/,,,,"[{""name"":""Michael Jaradah"",""role"":"""",""description"":""Co-Founder @ Zelos Cloud - The First Cloud Platform for Firmware Development and Testing. Former Tesla Energy Firmware lead. Experienced across domains like embedded, networking, safety systems and validation infrastructure."",""linkedin_profile"":""https://www.linkedin.com/in/michaeljaradah/"",""twitter_profile"":""""},{""name"":""Taylor Keairns"",""role"":"""",""description"":""Co-Founder @ Zelos Cloud - The First Cloud Platform for Firmware Development and TestingFormer Tesla Energy Firmware/Software lead. Specialized in system programming for embedded Linux and RTOS."",""linkedin_profile"":""https://www.linkedin.com/in/taylor-keairns-872063125/"",""twitter_profile"":""""},{""name"":""John Ott"",""role"":"""",""description"":""Co-founder at Zelos Cloud - The First Cloud Platform for Firmware Development and Testing.Ex-Neuralink/Tesla full-stack engineer, with production deployed projects from bare-metal assembly to Kubernetes."",""linkedin_profile"":""https://www.linkedin.com/in/john-b-ott/"",""twitter_profile"":""""}]"
Zippi,https://www.ycombinator.com/companies/zippi,Payment Platform for LatAm Microentrepeneurs,Zippi empowers microentrepeneurs to purchase supplies for their businesses.,S19,ACTIVE,"[""FINTECH""]",Brazil,"So Paulo, Brazil",https://www.zippi.com.br,2019,35,https://www.linkedin.com/company/souzippi,,https://www.facebook.com/vaizippi,,"[{""name"":""Andre Bernardes"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/andre-bernardes/"",""twitter_profile"":""""},{""name"":""Bruno Lucas"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/brunollucas/"",""twitter_profile"":""""},{""name"":""Ludmila Pontremolez"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/ludmilapontremolez/"",""twitter_profile"":""""}]"
OlaClick,https://www.ycombinator.com/companies/olaclick,We make it easy for SMBs in Latam to take direct orders on WhatsApp,"OlaClick makes it easy for mass market restaurants in Latam to create a digital menu, promote it instantly with only one click and start receiving simple food orders though WhatsApp. We have +50000 restaurants in Latam and we increase their sales by 40%.contact: founders@olaclick.com",W21,ACTIVE,"[""B2B"",""Food & Beverages"",""SAAS""]",Peru,"Lima, Peru",https://www.olaclick.com/,2020,30,https://www.linkedin.com/company/olaclick,https://twitter.com/OlaClick,https://www.facebook.com/weareolaclick/,https://www.crunchbase.com/organization/olaclick,"[{""name"":""Carol Riboud"",""role"":"""",""description"":""Hi !From France but spent most of time leaving in LATAM. Previously exited Busportal.pe to redbus ( Naspers company ) now fully dedicated Olaclick. Love surfing, arts, books and travel !"",""linkedin_profile"":""https://www.linkedin.com/in/carol-riboud-7946832b/"",""twitter_profile"":""""},{""name"":""Ulysse Lichtle"",""role"":"""",""description"":""I'm french, living in Peru since 2012. I worked in 5 countries between Europe and Latam. My strengths lay on commercial strategy and project planning. I graduated from a Master in Management&IT and a Master in Journalism. I built my professional experience in transportation industry and tourism."",""linkedin_profile"":""https://www.linkedin.com/in/ulysse-lichtl%C3%A9-35a7b085/"",""twitter_profile"":""""},{""name"":""Jose RICO"",""role"":"""",""description"":""Ive worked for more than 15 years in strategy and operations consultancy in the, Tech, Telecom, Retail, Media and Food sectors.I speak 4 languages and have lived in 9 countries. Ex-Google dedicated to RappiNow:Cofounder at OlaClickFounder America Invertida LLC [Angel Investor + Production Company]inversiones.iotrytoku.com (YCS21)cuentamono.com (YCW22)thebeeminelab.comdigger.devcampfire.to (YCW22)almayalife.comgetarena.xyzinfiniaweb.com (YCW23)quipubank.com"",""linkedin_profile"":""https://www.linkedin.com/in/jmrico/"",""twitter_profile"":""https://twitter.com/Jose_Rico_V""},{""name"":""Morgan Zysman"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/morgan-zysman-4a973867/"",""twitter_profile"":""""}]"
